freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_NAC,TOT_HC,PT	17135.42 	16247.14 	16034.57 	16168.20 	16742.90 	17519.59 	18234.53 	19313.26 	20395.17 	21150.13 	23915.71 	25417.69 p
A,MIO_NAC,TOT_HC,RO	26278.66 	28012.64 	32996.79 	33630.42 	35220.71 	38209.12 	44188.77 	52920.94 	60787.51 	66419.68 	76931.82 	: 
A,MIO_NAC,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	627795.01 	: 
A,MIO_NAC,TOT_HC,SE	388316.00 	401826.00 	416859.00 	437122.00 	460309.00 	479137.00 	498821.00 	528268.00 	546987.00 	571016.00 	614299.00 	632146.00 p
A,MIO_NAC,TOT_HC,SI	: 	: 	: 	3199.66 	3309.20 	3428.78 	3520.39 	3797.15 	4124.92 	4435.43 	4956.32 	5218.56 p
A,MIO_NAC,TOT_HC,SK	: 	5550.07 	5583.37 	5256.33 	5418.25 	5666.47 	5721.14 	5991.41 	6534.21 	6659.30 	7776.08 	: 
A,MIO_NAC,TOT_HC,UK	: 	: 	177600.30 	185376.98 	190058.38 	196940.55 	202901.09 	212119.69 	225194.69 	: 	: 	: 
A,MIO_PPS,TOT_HC,AT	27698.12 	28893.44 	29652.44 	30375.77 	31288.22 	32130.28 	32925.54 	34022.34 	35215.35 	36554.65 	41738.65 	43751.69 p
A,MIO_PPS,TOT_HC,BA	: 	: 	2557.12 	2629.06 	2734.17 	2856.73 	2829.50 	2966.36 	3174.70 	3287.80 	3679.94 	: 
A,MIO_PPS,TOT_HC,BE	33991.39 	35195.61 	36364.21 	37677.91 	39777.86 	40211.59 	41196.13 	42641.29 	44104.56 	44556.66 	48263.54 	: 
A,MIO_PPS,TOT_HC,BG	6349.85 	6855.99 	6605.38 	7442.00 	7551.66 	8064.31 	8433.35 	8656.16 	8824.48 	10285.13 	11740.42 	: 
A,MIO_PPS,TOT_HC,CH	31428.07 	32636.10 	34554.22 	35851.73 	37962.17 	38809.58 	38793.56 	39197.86 	40757.48 	41667.02 	45001.29 b	: 
A,MIO_PPS,TOT_HC,CY	1307.37 	1284.37 	1275.30 	1264.91 	1294.46 	1378.80 	1461.69 	1586.80 	1744.30 	1964.75 	2417.23 	: 
A,MIO_PPS,TOT_HC,CZ	17761.13 	17932.51 	18392.58 	19788.55 	20125.24 	20929.97 	22151.65 	23191.67 	24756.90 	28679.62 	31430.43 	: 
A,MIO_PPS,TOT_HC,DE	278469.55 	285097.41 	292940.37 	305314.09 	316993.35 	330721.87 	347828.25 	363667.25 	377905.73 	400463.25 	428983.84 	446597.80 p
A,MIO_PPS,TOT_HC,DK	18086.09 	18517.56 	18640.18 	18981.24 	19673.03 	19871.12 	20754.32 	21440.79 	21885.41 	22908.59 	25318.56 	24703.32 p
